Time,Quadrant Number,Ball Colour,Type
2.662877777777778,3,yellow,Entry
9.08688888888889,1,green,Entry
12.082422222222222,1,orange,Entry
13.3472,1,orange,Entry
18.106944444444444,4,green,Exit
18.2069,1,white,Entry
20.902977777777778,1,orange,Exit
26.960922222222223,1,orange,Exit
26.960922222222223,2,orange,Entry
28.02606666666667,2,orange,Entry
29.690255555555556,3,yellow,Exit
29.889933333333335,2,orange,Exit
32.885577777777776,1,green,Entry
35.981122222222226,3,yellow,Exit
35.981122222222226,1,yellow,Entry
37.04623333333333,1,yellow,Entry
41.80592222222222,2,orange,Exit
43.86958888888889,1,yellow,Exit
46.632422222222225,3,green,Exit
48.662755555555556,1,yellow,Entry
51.79163333333334,2,orange,Exit
51.79163333333334,1,orange,Entry
54.08825555555556,1,white,Entry
54.78732222222222,1,green,Entry
54.95365555555556,1,orange,Exit
55.35308888888889,1,white,Entry
56.35166666666667,1,green,Entry
56.65116666666667,1,orange,Exit
57.117222222222225,1,white,Entry
58.781400000000005,1,white,Entry
63.84086666666667,1,orange,Exit
64.77287777777778,4,green,Exit
66.50362222222222,3,yellow,Exit
69.3993888888889,3,yellow,Exit
69.3993888888889,1,yellow,Entry
73.66001111111112,1,yellow,Exit
75.92342222222223,1,green,Exit
75.92342222222223,2,green,Entry
77.35464444444445,1,orange,Entry
77.62086666666667,1,yellow,Exit
77.75397777777778,1,white,Exit
77.75397777777778,4,white,Entry
84.27792222222223,1,yellow,Exit
84.97704444444445,2,green,Exit
85.94222222222223,4,orange,Exit
85.97550000000001,4,white,Exit
89.80336666666668,4,orange,Exit
89.80336666666668,1,orange,Entry
92.89893333333333,1,orange,Exit
93.39805555555556,4,white,Exit
93.39805555555556,1,white,Entry
94.29685555555557,1,orange,Entry
95.36191111111111,1,white,Entry
97.85831111111112,2,green,Exit
97.85831111111112,1,green,Entry
97.99145555555556,1,orange,Exit
99.48927777777779,1,orange,Exit
100.32131111111111,1,yellow,Exit
100.32131111111111,3,yellow,Entry
100.5543888888889,1,white,Entry
100.5543888888889,1,orange,Entry
